contract_id,supplier_id,contract_value_million,contract_type,award_date,expected_duration_months,status
CTR00000,SUP0056,1.75,R&D,2025-03-30,37,delayed
CTR00001,SUP0087,6.18,Tech Services,2021-07-14,25,terminated
CTR00002,SUP0224,2.95,R&D,2024-12-04,15,terminated
CTR00003,SUP0104,0.23,Production,2022-06-15,34,terminated
CTR00004,SUP0252,0.13,Production,2024-05-14,46,delayed
CTR00005,SUP0374,0.5,Sustainment,2021-12-28,57,delayed
CTR00006,SUP0193,0.05,R&D,2024-01-21,56,completed
CTR00007,SUP0307,0.27,Sustainment,2020-08-23,51,active
CTR00008,SUP0225,4.12,Production,2022-09-12,39,active
CTR00009,SUP0138,2.68,Production,2023-12-18,42,active
CTR00010,SUP0075,4.85,Production,2023-10-08,25,completed
CTR00011,SUP0194,8.55,R&D,2022-06-27,13,active
CTR00012,SUP0116,3.08,R&D,2022-07-17,12,delayed
CTR00013,SUP0395,4.53,Production,2021-05-03,11,delayed
CTR00014,SUP0081,4.95,Sustainment,2025-01-31,16,terminated
CTR00015,SUP0067,1.66,Sustainment,2021-06-01,49,active
CTR00016,SUP0456,0.97,Tech Services,2025-01-19,23,delayed
CTR00017,SUP0284,0.8,Production,2021-12-23,56,terminated
CTR00018,SUP0208,1.01,Sustainment,2022-09-03,47,active
CTR00019,SUP0204,1.12,Production,2021-08-20,34,active
CTR00020,SUP0467,0.81,Sustainment,2023-08-27,30,delayed
CTR00021,SUP0379,7.37,Tech Services,2023-09-12,26,terminated
CTR00022,SUP0400,4.95,Tech Services,2024-04-01,51,terminated
CTR00023,SUP0398,0.17,Production,2021-10-18,8,delayed
CTR00024,SUP0324,1.1,Sustainment,2023-03-30,23,delayed
CTR00025,SUP0344,0.08,R&D,2024-03-20,29,delayed
CTR00026,SUP0106,2.41,Tech Services,2021-02-16,52,active
CTR00027,SUP0479,2.26,Production,2020-11-21,43,delayed
CTR00028,SUP0362,6.23,Production,2020-07-28,15,delayed
CTR00029,SUP0495,1.29,Sustainment,2024-09-14,32,completed
CTR00030,SUP0142,5.93,Production,2025-05-09,17,delayed
CTR00031,SUP0182,12.04,Tech Services,2021-02-10,12,delayed
CTR00032,SUP0416,0.32,Production,2020-09-01,22,active
CTR00033,SUP0083,5.49,Production,2024-02-12,6,terminated
CTR00034,SUP0178,3.12,R&D,2022-10-18,55,active
CTR00035,SUP0423,2.29,R&D,2020-06-12,31,completed
CTR00036,SUP0462,1.91,Tech Services,2024-11-14,20,delayed
CTR00037,SUP0425,5.37,Sustainment,2023-05-01,56,delayed
CTR00038,SUP0451,3.57,R&D,2021-03-22,38,delayed
CTR00039,SUP0490,5.72,Sustainment,2020-11-20,42,delayed
CTR00040,SUP0232,8.17,Tech Services,2025-04-12,52,delayed
CTR00041,SUP0492,3.36,R&D,2023-04-22,36,delayed
CTR00042,SUP0316,13.77,Sustainment,2023-08-28,40,completed
CTR00043,SUP0330,3.28,R&D,2020-06-02,6,delayed
CTR00044,SUP0099,3.54,Tech Services,2024-09-15,13,delayed
CTR00045,SUP0107,2.83,Tech Services,2025-02-14,17,delayed
CTR00046,SUP0109,0.33,R&D,2022-12-21,59,completed
CTR00047,SUP0130,4.54,Sustainment,2024-03-11,24,delayed
CTR00048,SUP0444,2.77,Production,2020-09-13,30,completed
CTR00049,SUP0291,2.1,Production,2024-07-02,37,active
CTR00050,SUP0089,8.45,R&D,2024-09-26,17,delayed
CTR00051,SUP0055,1.24,Sustainment,2024-06-08,18,terminated
CTR00052,SUP0303,2.6,Production,2022-07-31,33,completed
CTR00053,SUP0115,4.19,Tech Services,2021-02-21,6,active
CTR00054,SUP0271,5.57,Sustainment,2025-03-31,56,completed
CTR00055,SUP0356,2.15,Production,2022-04-04,11,completed
CTR00056,SUP0085,6.46,Sustainment,2024-08-04,13,active
CTR00057,SUP0206,5.13,R&D,2023-11-07,9,delayed
CTR00058,SUP0247,0.24,Sustainment,2022-11-04,10,delayed
CTR00059,SUP0137,0.16,Production,2022-10-27,30,completed
CTR00060,SUP0014,3.39,R&D,2020-08-22,27,active
CTR00061,SUP0281,1.49,Sustainment,2021-05-27,33,delayed
CTR00062,SUP0148,0.82,Tech Services,2024-03-19,44,completed
