contract_id,supplier_id,contract_value_million,contract_type,award_date,expected_duration_months,status,supplier_name,past_contracts,average_delay_days,compliance_issues,delay_days,contract_age_days,contract_age_months,value_per_month,normalized_delay,normalized_compliance,risk_score,risk_level
CTR00004,SUP0252,0.13,Production,2024-05-14,46,delayed,Powell-Bowman,41,152,0,99,385,12,0.002826086956521739,0.375,0.0,0.22499999999999998,Low
CTR00005,SUP0374,0.5,Sustainment,2021-12-28,57,delayed,"Shah, Watson and Smith",3,186,4,99,1253,41,0.008771929824561403,0.375,1.0,0.625,Medium
CTR00012,SUP0116,3.08,R&D,2022-07-17,12,delayed,Conway Ltd,11,83,0,149,1052,35,0.25666666666666665,0.5982142857142857,0.0,0.35892857142857143,Medium
CTR00013,SUP0395,4.53,Production,2021-05-03,11,delayed,"Williams, Galvan and Peterson",34,170,2,31,1492,49,0.41181818181818186,0.07142857142857142,0.5,0.24285714285714285,Low
CTR00016,SUP0456,0.97,Tech Services,2025-01-19,23,delayed,Thompson-Rogers,48,64,1,62,135,4,0.04217391304347826,0.20982142857142858,0.25,0.22589285714285715,Low
CTR00023,SUP0398,0.17,Production,2021-10-18,8,delayed,"Norton, Morris and Edwards",40,66,3,205,1324,44,0.02125,0.8482142857142857,0.75,0.8089285714285714,High
CTR00027,SUP0479,2.26,Production,2020-11-21,43,delayed,"Bell, Jones and Black",9,54,1,89,1655,55,0.05255813953488372,0.33035714285714285,0.25,0.2982142857142857,Low
CTR00028,SUP0362,6.23,Production,2020-07-28,15,delayed,"Austin, Tapia and Wood",29,151,0,219,1771,59,0.4153333333333334,0.9107142857142857,0.0,0.5464285714285714,Medium
CTR00030,SUP0142,5.93,Production,2025-05-09,17,delayed,Watson PLC,32,143,1,207,25,0,0.3488235294117647,0.8571428571428571,0.25,0.6142857142857142,Medium
CTR00031,SUP0182,12.04,Tech Services,2021-02-10,12,delayed,Palmer Ltd,44,159,1,176,1574,52,1.0033333333333332,0.71875,0.25,0.53125,Medium
CTR00036,SUP0462,1.91,Tech Services,2024-11-14,20,delayed,"Calderon, Fuentes and Hines",42,12,0,151,201,6,0.0955,0.6071428571428571,0.0,0.36428571428571427,Medium
CTR00037,SUP0425,5.37,Sustainment,2023-05-01,56,delayed,Sanchez-Patrick,8,143,4,91,764,25,0.09589285714285714,0.3392857142857143,1.0,0.6035714285714286,Medium
CTR00039,SUP0490,5.72,Sustainment,2020-11-20,42,delayed,Smith LLC,7,136,1,51,1656,55,0.1361904761904762,0.16071428571428573,0.25,0.19642857142857145,Low
CTR00040,SUP0232,8.17,Tech Services,2025-04-12,52,delayed,"Allen, Cohen and Smith",39,153,4,44,52,1,0.1571153846153846,0.12946428571428573,1.0,0.47767857142857145,Medium
CTR00041,SUP0492,3.36,R&D,2023-04-22,36,delayed,Garza-Hamilton,33,68,1,183,773,25,0.09333333333333332,0.75,0.25,0.5499999999999999,Medium
CTR00044,SUP0099,3.54,Tech Services,2024-09-15,13,delayed,"Gonzalez, Berry and Woods",35,99,3,61,261,8,0.2723076923076923,0.20535714285714285,0.75,0.42321428571428577,Medium
CTR00045,SUP0107,2.83,Tech Services,2025-02-14,17,delayed,Flynn LLC,14,129,4,149,109,3,0.16647058823529412,0.5982142857142857,1.0,0.7589285714285714,High
CTR00050,SUP0089,8.45,R&D,2024-09-26,17,delayed,"Garcia, Taylor and Simmons",31,119,0,62,250,8,0.4970588235294117,0.20982142857142858,0.0,0.12589285714285714,Low
CTR00057,SUP0206,5.13,R&D,2023-11-07,9,delayed,Novak-Santana,2,57,4,148,574,19,0.57,0.59375,1.0,0.7562500000000001,High
CTR00058,SUP0247,0.24,Sustainment,2022-11-04,10,delayed,"Anderson, Huffman and Jones",31,150,1,48,942,31,0.024,0.14732142857142858,0.25,0.18839285714285714,Low
CTR00069,SUP0218,4.19,Sustainment,2024-12-05,42,delayed,"Park, Wise and Gonzalez",38,186,0,115,180,6,0.09976190476190477,0.44642857142857145,0.0,0.26785714285714285,Low
CTR00072,SUP0100,1.86,Tech Services,2022-07-24,12,delayed,Baker Ltd,12,100,3,201,1045,34,0.155,0.8303571428571429,0.75,0.7982142857142858,High
CTR00073,SUP0128,7.26,R&D,2025-02-10,54,delayed,Roberts-Ramos,28,185,3,84,113,3,0.13444444444444445,0.3080357142857143,0.75,0.4848214285714286,Medium
CTR00088,SUP0410,1.36,Production,2024-11-04,20,delayed,Mcintosh Ltd,47,45,1,81,211,7,0.068,0.29464285714285715,0.25,0.2767857142857143,Low
CTR00089,SUP0057,0.34,Production,2022-01-05,15,delayed,"Brown, Adkins and Howard",30,37,1,18,1245,41,0.02266666666666667,0.013392857142857142,0.25,0.10803571428571429,Low
CTR00091,SUP0334,4.07,Sustainment,2021-01-17,47,delayed,"Mitchell, Perez and Brown",32,151,2,238,1598,53,0.08659574468085107,0.9955357142857143,0.5,0.7973214285714285,High
CTR00093,SUP0218,0.6,R&D,2020-12-31,28,delayed,"Park, Wise and Gonzalez",38,186,0,15,1615,53,0.02142857142857143,0.0,0.0,0.0,Low
CTR00094,SUP0374,1.66,Sustainment,2022-12-17,22,delayed,"Shah, Watson and Smith",3,186,4,48,899,29,0.07545454545454545,0.14732142857142858,1.0,0.4883928571428572,Medium
CTR00111,SUP0032,4.85,Sustainment,2020-12-24,18,delayed,"King, Miller and Olson",25,74,2,23,1622,54,0.26944444444444443,0.03571428571428571,0.5,0.22142857142857145,Low
CTR00115,SUP0247,1.77,Production,2024-05-07,11,delayed,"Anderson, Huffman and Jones",31,150,1,77,392,13,0.16090909090909092,0.2767857142857143,0.25,0.26607142857142857,Low
CTR00120,SUP0373,6.43,Production,2023-11-29,8,delayed,Vasquez-Hodge,9,172,3,218,552,18,0.80375,0.90625,0.75,0.84375,High
CTR00127,SUP0299,3.66,R&D,2020-06-28,17,delayed,"Sanchez, Houston and Harrison",2,9,0,24,1801,60,0.21529411764705883,0.04017857142857143,0.0,0.024107142857142858,Low
CTR00139,SUP0473,2.41,Production,2020-10-19,31,delayed,Hunter-Weeks,8,178,0,152,1688,56,0.07774193548387097,0.6116071428571429,0.0,0.36696428571428574,Medium
CTR00151,SUP0126,0.19,R&D,2023-11-05,24,delayed,"Dickson, Henry and Smith",39,46,2,58,576,19,0.007916666666666667,0.19196428571428573,0.5,0.3151785714285714,Medium
CTR00152,SUP0301,0.06,R&D,2024-08-03,7,delayed,Mcintyre-Diaz,23,48,3,132,304,10,0.008571428571428572,0.5223214285714286,0.75,0.6133928571428572,Medium
CTR00158,SUP0456,0.02,Production,2023-11-23,30,delayed,Thompson-Rogers,48,64,1,190,558,18,0.0006666666666666666,0.78125,0.25,0.56875,Medium
CTR00160,SUP0464,2.36,R&D,2022-07-10,23,delayed,Alvarado and Sons,1,52,1,229,1059,35,0.10260869565217391,0.9553571428571429,0.25,0.6732142857142857,Medium
CTR00166,SUP0065,6.38,Tech Services,2022-02-18,46,delayed,Campbell PLC,39,22,0,20,1201,40,0.13869565217391305,0.022321428571428572,0.0,0.013392857142857142,Low
CTR00169,SUP0275,4.34,Tech Services,2021-04-24,37,delayed,Proctor-Hunt,24,16,4,230,1501,50,0.11729729729729729,0.9598214285714286,1.0,0.9758928571428571,High
CTR00175,SUP0365,0.32,Sustainment,2021-04-12,39,delayed,Moore-Roberts,23,68,1,135,1513,50,0.008205128205128205,0.5357142857142857,0.25,0.4214285714285714,Medium
CTR00184,SUP0061,0.79,Production,2021-05-28,10,delayed,Little LLC,32,175,1,227,1467,48,0.079,0.9464285714285714,0.25,0.6678571428571428,Medium
CTR00186,SUP0017,0.32,Production,2020-05-17,14,delayed,"Gutierrez, Stark and Garrison",44,14,4,109,1843,61,0.022857142857142857,0.41964285714285715,1.0,0.6517857142857143,Medium
CTR00189,SUP0108,0.43,Sustainment,2023-03-26,32,delayed,Pruitt-Smith,19,80,4,125,800,26,0.0134375,0.49107142857142855,1.0,0.6946428571428571,Medium
CTR00190,SUP0127,2.24,Tech Services,2023-05-12,15,delayed,Johnson-Davis,25,75,2,200,753,25,0.14933333333333335,0.8258928571428571,0.5,0.6955357142857143,Medium
CTR00194,SUP0118,6.66,Sustainment,2021-10-01,56,delayed,"Mclaughlin, Farrell and Ballard",44,7,3,78,1341,44,0.11892857142857143,0.28125,0.75,0.46875,Medium
CTR00206,SUP0163,4.86,Tech Services,2020-10-01,53,delayed,Cameron LLC,4,57,2,224,1706,56,0.09169811320754717,0.9330357142857143,0.5,0.7598214285714286,High
CTR00208,SUP0017,6.1,Production,2024-07-13,56,delayed,"Gutierrez, Stark and Garrison",44,14,4,154,325,10,0.10892857142857142,0.6205357142857143,1.0,0.7723214285714286,High
CTR00212,SUP0169,8.35,R&D,2021-03-14,39,delayed,"Gonzalez, Wheeler and Galvan",36,94,1,177,1542,51,0.2141025641025641,0.7232142857142857,0.25,0.5339285714285714,Medium
